Code,ISU_CD,Name,Market,Dept,Close,ChangeCode,Changes,ChagesRatio,Open,High,Low,Volume,Amount,Marcap,Stocks,MarketId
361610,KR7361610009,SK아이이테크놀로지,KOSPI,,27550,1,450,1.66,27650,27950,27150,125016,3447106425,2253234605000,81787100,STK
003690,KR7003690005,코리안리,KOSPI,,11550,2,-60,-0.52,11620,11670,11520,164139,1899762485,2250182908050,194821031,STK
009420,KR7009420001,한올바이오파마,KOSPI,,42700,1,50,0.12,43300,43300,41850,426529,18065559750,2230675242600,52240638,STK
002790,KR7002790004,아모레퍼시픽홀딩스,KOSPI,,27650,2,-200,-0.72,28100,28100,27600,66925,1856049000,2197018677000,79458180,STK
462870,KR7462870007,시프트업,KOSPI,,37050,1,400,1.09,36500,37300,36500,32455,1200796325,2184521352000,58961440,STK
018670,KR7018670000,SK가스,KOSPI,,234500,1,500,0.21,236500,236500,232000,5797,1355551750,2168009718000,9245244,STK
000120,KR7000120006,CJ대한통운,KOSPI,,94900,2,-600,-0.63,97400,97400,94300,49123,4663536800,2164891445600,22812344,STK
010060,KR7010060002,OCI홀딩스,KOSPI,,114800,3,0,0.0,116700,116700,114000,80052,9210833800,2143342633600,18670232,STK
023530,KR7023530009,롯데쇼핑,KOSPI,,75200,1,900,1.21,74900,75200,73800,29374,2192402950,2127314376000,28288755,STK
028670,KR7028670008,팬오션,KOSPI,,3925,3,0,0.0,3940,3980,3900,1826543,7169946762,2098185334600,534569512,STK
018880,KR7018880005,한온시스템,KOSPI,,3090,1,10,0.32,3080,3095,3005,3810576,11650240657,2097376285680,678762552,STK
476830,KR7476830005,알지노믹스,KOSDAQ,기술성장기업부,152100,4,35100,30.0,152100,152100,152100,1227822,186751691100,2092287600000,13756000,KSQ
069620,KR7069620003,대웅제약,KOSPI,,179500,2,-1100,-0.61,181900,182000,175000,43085,7668557800,2079790212500,11586575,STK
069960,KR7069960003,현대백화점,KOSPI,,91900,1,300,0.33,92800,92800,90600,44541,4070214850,2079587914700,22628813,STK
475830,KR7475830006,오름테라퓨틱,KOSDAQ,기술성장기업부,97800,2,-7200,-6.86,102600,102600,93700,699872,68169661650,2076525590400,21232368,KSQ
357780,KR7357780006,솔브레인,KOSDAQ GLOBAL,우량기업부,264000,1,7500,2.92,263000,265500,259500,23342,6144543250,2053541424000,7778566,KSQ
